Text,Gloss,NpyFilesRoot
how can i help them stay active and mobile?,"ACTIVE STAY, MOBILE HELP, HOW CAN?","/ACTIVE STAY, MOBILE HELP, HOW CAN?/*.npy"
are there any specific activities you should be doing more or less of?,ACTIVITY SPECIFIC MORE LESS DO SHOULD?,/Users/nadashahin/Desktop/Research/Sign Language/Datasets/ASL_Continuous_Videos original/ACTIVITY SPECIFIC MORE LESS DO SHOULD?/*.npy
do you have any known allergies to medications or substances?,ALLERGY MEDICATION OR SUBSTANCE ANY HAVE YOU?,/ALLERGY MEDICATION OR SUBSTANCE ANY HAVE YOU?/*.npy
we'll be performing an allergy skin test,ALLERGY SKIN TEST DO WILL,/ALLERGY SKIN TEST DO WILL/*.npy
i'm interested in learning about alternative therapies that might help,"ALTERNATIVE THERAPIES, INTERESTED LEARN ABOUT","/ALTERNATIVE THERAPIES, INTERESTED LEARN ABOUT/*.npy"
do you have any history of reactions to anesthesia or sedation?,ANESTHESIA REACTION HISTORY HAVE?,/ANESTHESIA REACTION HISTORY HAVE?/*.npy
how can i help them cope with anxiety related to their health?,"ANXIETY HEALTH-RELATED, COPE HELP, HOW CAN?","/ANXIETY HEALTH-RELATED, COPE HELP, HOW CAN?/*.npy"
please contact us if you experience any adverse reactions to the medication,"ANY BAD REACTIONS MEDICINE, CONTACT US PLEASE","/ANY BAD REACTIONS MEDICINE, CONTACT US PLEASE/*.npy"
i am here to answer any questions you might have,ANY QUESTIONS HAVE? HERE-me TO ANSWER,/ANY QUESTIONS HAVE? HERE-me TO ANSWER/*.npy
how has your appetite been affected by your health or medications?,APPETITE AFFECT HEALTH MEDICATION HOW?,/APPETITE AFFECT HEALTH MEDICATION HOW?/*.npy
can you check why i'm losing my appetite?,"APPETITE LOSING WHY, CHECK CAN YOU?","/APPETITE LOSING WHY, CHECK CAN YOU?/*.npy"
have you noticed your appetite or sleep patterns?,APPETITE SLEEP PATTERN YOU NOTICE?,/APPETITE SLEEP PATTERN YOU NOTICE?/*.npy
can i have an interpreter for my appointment?,"APPOINTMENT MY, INTERPRETER HAVE CAN I?","/APPOINTMENT MY, INTERPRETER HAVE CAN I?/*.npy"
do you need any assistance with transportation to your appointments?,APPOINTMENT TRANSPORTATION HELP NEED?,/APPOINTMENT TRANSPORTATION HELP NEED?/*.npy
i need assistance getting to my appointment,"APPOINTMENT, ASSISTANCE NEED I","/APPOINTMENT, ASSISTANCE NEED I/*.npy"
can we schedule their appointments for a time that's convenient for both of us?,"APPOINTMENTS THEIR, SCHEDULE CONVENIENT TIME, CAN?","/APPOINTMENTS THEIR, SCHEDULE CONVENIENT TIME, CAN?/*.npy"
